
3 3
-732.824 -366.789 2813.24 
2363.29 -3.96921 93.6386 
45.5498 67.287 69.6134 

3 3
-73.5405 -16.0511 91.8119 
21.3807 96.3956 3.43807 
67.8655 27.1429 -29.4492 

3 3
-6865.99 -9052.07 2707.98 
7451.2 2416.83 -4245.94 
-29.4492 93.6386 45.5498 

3 3
-2409.75 626.226 6863.5 
3729.08 -732.824 -366.789 
2813.24 7644.56 2363.29 

3 3
-3.96921 93.6386 45.5498 
69.6134 -3.96921 93.6386 
45.5498 67.287 69.6134 

3 3
-73.5405 -16.0511 91.8119 
21.3807 96.3956 3.43807 
67.8655 27.1429 -29.4492 

3 3

3 3
-3.96921 93.6386 45.5498 
69.6134 -3.96921 93.6386 
45.5498 67.287 69.6134 

3 3
-73.5405 -16.0511 91.8119 
21.3807 96.3956 3.43807 
67.8655 27.1429 -29.4492 

3 3

3 3
-3.96921 93.6386 45.5498 
69.6134 -3.96921 93.6386 
45.5498 67.287 69.6134 

3 3
-73.5405 -16.0511 91.8119 
21.3807 96.3956 3.43807 
67.8655 27.1429 -29.4492 

3 3

3 3
-3.96921 93.6386 45.5498 
69.6134 -3.96921 93.6386 
45.5498 67.287 69.6134 

3 3
-73.5405 -16.0511 91.8119 
21.3807 96.3956 3.43807 
67.8655 27.1429 -29.4492 

3 3

3 3
-3.96921 93.6386 45.5498 
69.6134 -3.96921 93.6386 
45.5498 67.287 69.6134 

3 3
-73.5405 -16.0511 91.8119 
21.3807 96.3956 3.43807 
67.8655 27.1429 -29.4492 

3 3

3 3
-3.96921 93.6386 45.5498 
69.6134 -3.96921 93.6386 
45.5498 67.287 69.6134 

3 3
-73.5405 -16.0511 91.8119 
21.3807 96.3956 3.43807 
67.8655 27.1429 -29.4492 

3 3

3 3
-3.96921 93.6386 45.5498 
69.6134 -3.96921 93.6386 
45.5498 67.287 69.6134 

3 3
-73.5405 -16.0511 91.8119 
21.3807 96.3956 3.43807 
67.8655 27.1429 -29.4492 

3 3

3 3
-3.96921 93.6386 45.5498 
69.6134 -3.96921 93.6386 
45.5498 67.287 69.6134 

3 3
-73.5405 -16.0511 91.8119 
21.3807 96.3956 3.43807 
67.8655 27.1429 -29.4492 

3 3
